Name,Latitude,Longitude,Polygon Number
Ristorante Pizzeria Zurigo,45.8518,10.9716,N/A
Pizzeria Moncalveat,45.0506,8.266,N/A
Tavernetta da Nani,45.0937,11.4911,N/A
Mani in Pasta - pizza & co.,45.9664,12.319,N/A
da Pino Padova,45.4077,11.8782,8
Gemma Grill,45.8127,12.4763,N/A
Gelateria Brina,45.5801,9.708,N/A
Il Kapuziner Platz im Wald (CASTELSEPRIO-Va),45.7095,8.8673,N/A
Tivoli Pub,45.7394,9.6122,N/A
Corte Vittoria,45.3845,10.7867,N/A
Ristorante Pizzeria Nonno Socrate,44.6542,11.7695,N/A
La Playa,45.8029,8.6499,N/A
Kisen Sushi Milano,45.4589,9.1795,1
TWISTER Pizza & Restaurant,45.6267,9.2758,N/A
Birracrua,45.5594,11.5171,N/A
Pizza OK,45.4745,9.2103,1
